tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.2371	0.077	0.0095	0.2417	0.0762	0.0104	0.2446	0.0765	0.0104	0.2039	0.0954	0.0235	0.2063	0.0972	0.0221	0.1982	0.0959	0.0304
0.101010101010101	0.244	0.0768	0.0105	0.2493	0.082	0.0105	0.2416	0.0773	0.0102	0.2109	0.0922	0.019	0.2039	0.0923	0.0199	0.2041	0.1031	0.0312
0.202020202020202	0.2417	0.0774	0.012	0.2617	0.0759	0.0113	0.234	0.0735	0.0112	0.2169	0.0811	0.0169	0.1979	0.0885	0.0204	0.2101	0.1028	0.036
0.303030303030303	0.2389	0.0734	0.0115	0.2651	0.0794	0.0124	0.2428	0.075	0.0125	0.2062	0.0742	0.0149	0.1955	0.079	0.0201	0.2193	0.1136	0.0414
0.404040404040404	0.2394	0.0712	0.0109	0.2741	0.0736	0.0096	0.2455	0.0694	0.0104	0.2133	0.0694	0.0111	0.1962	0.0733	0.0141	0.2285	0.1104	0.0397
0.505050505050505	0.2428	0.0734	0.0092	0.2764	0.0796	0.0093	0.2432	0.0742	0.0086	0.2214	0.0634	0.01	0.1988	0.0669	0.0138	0.2314	0.1129	0.0415
0.606060606060606	0.2488	0.0785	0.011	0.2797	0.0807	0.011	0.248	0.0733	0.0105	0.2198	0.0677	0.0103	0.1979	0.0681	0.0115	0.2359	0.1163	0.0421
0.707070707070707	0.2454	0.0771	0.0099	0.2878	0.0819	0.0113	0.2502	0.0727	0.01	0.2263	0.0597	0.0088	0.1977	0.0608	0.0089	0.2488	0.1184	0.0407
0.808080808080808	0.2413	0.0754	0.0121	0.274	0.0772	0.0118	0.2424	0.0718	0.0113	0.2149	0.06	0.0089	0.1935	0.0602	0.01	0.2385	0.1134	0.0445
0.909090909090909	0.245	0.0745	0.0105	0.2882	0.0801	0.0077	0.2523	0.0719	0.0078	0.217	0.0551	0.0068	0.1941	0.0547	0.009	0.2447	0.1144	0.0408
1.01010101010101	0.2436	0.0747	0.0102	0.2876	0.0796	0.0106	0.2489	0.0715	0.0089	0.2173	0.054	0.0069	0.1921	0.0548	0.0069	0.246	0.111	0.0417
1.11111111111111	0.2483	0.0785	0.0111	0.2931	0.081	0.0111	0.2585	0.0752	0.0104	0.2242	0.0574	0.0076	0.2014	0.057	0.0084	0.2556	0.1161	0.0446
1.21212121212121	0.2433	0.0735	0.0105	0.2914	0.0777	0.0107	0.2532	0.0694	0.0093	0.2243	0.0548	0.0073	0.1995	0.0518	0.0071	0.2537	0.113	0.047
1.31313131313131	0.2405	0.0765	0.0098	0.2821	0.0835	0.01	0.248	0.0762	0.0088	0.2136	0.0567	0.0065	0.1889	0.0569	0.0073	0.2432	0.1139	0.0403
1.41414141414141	0.24	0.0778	0.0113	0.2876	0.0798	0.0108	0.2552	0.0683	0.0095	0.22	0.0579	0.0067	0.1974	0.0536	0.0075	0.2545	0.1098	0.0426
1.51515151515152	0.2404	0.0757	0.01	0.2833	0.0814	0.0105	0.2519	0.0711	0.0095	0.2179	0.0576	0.0069	0.1961	0.0545	0.0072	0.2504	0.1164	0.0451
1.61616161616162	0.239	0.078	0.0104	0.2895	0.084	0.0094	0.2542	0.0759	0.0088	0.2198	0.0592	0.0057	0.2029	0.0558	0.0069	0.2554	0.1193	0.0429
1.71717171717172	0.245	0.0722	0.0092	0.2895	0.0811	0.01	0.2511	0.0728	0.0093	0.2251	0.0544	0.0064	0.1966	0.0515	0.0065	0.2533	0.1159	0.0409
1.81818181818182	0.2384	0.0779	0.0092	0.2881	0.0842	0.0102	0.252	0.074	0.0091	0.2225	0.0596	0.0064	0.195	0.0556	0.0068	0.25	0.1125	0.0431
1.91919191919192	0.2484	0.0775	0.0108	0.293	0.0799	0.01	0.2561	0.0732	0.009	0.2215	0.0561	0.0067	0.1941	0.0547	0.007	0.2547	0.1214	0.0419
2.02020202020202	0.2391	0.0721	0.0118	0.2878	0.0797	0.0107	0.2529	0.0691	0.0107	0.2203	0.0536	0.007	0.1944	0.0507	0.008	0.2467	0.1152	0.0428
2.12121212121212	0.2435	0.0752	0.0114	0.2934	0.0811	0.0111	0.2567	0.0709	0.0094	0.2205	0.0537	0.0074	0.1914	0.0489	0.0071	0.2572	0.1142	0.0423
2.22222222222222	0.2389	0.0765	0.0103	0.2794	0.0813	0.0099	0.2491	0.0746	0.0088	0.215	0.0554	0.006	0.1943	0.0554	0.0065	0.2455	0.117	0.0418
2.32323232323232	0.2438	0.0724	0.01	0.2924	0.0757	0.0109	0.2568	0.0685	0.0097	0.2211	0.0538	0.0064	0.1972	0.0503	0.0072	0.254	0.1136	0.0439
2.42424242424242	0.2388	0.0735	0.0108	0.2877	0.0755	0.0108	0.2506	0.0699	0.009	0.2204	0.0517	0.0068	0.1965	0.0529	0.0074	0.2537	0.1097	0.0389
2.52525252525253	0.2398	0.0751	0.0098	0.2898	0.0821	0.0091	0.2506	0.0733	0.0087	0.2224	0.0562	0.0063	0.195	0.0539	0.0071	0.2529	0.1149	0.0424
2.62626262626263	0.2434	0.076	0.0121	0.2905	0.0809	0.011	0.2566	0.0731	0.0103	0.2163	0.055	0.0073	0.1944	0.0526	0.0073	0.2517	0.115	0.0433
2.72727272727273	0.236	0.0753	0.011	0.2901	0.0826	0.0118	0.2536	0.0733	0.0106	0.2182	0.0551	0.007	0.1942	0.0532	0.0073	0.2526	0.116	0.0461
2.82828282828283	0.2441	0.072	0.0105	0.2874	0.0805	0.0082	0.2562	0.0735	0.0073	0.2164	0.0545	0.0056	0.1942	0.0546	0.0059	0.2493	0.114	0.0403
2.92929292929293	0.2475	0.0731	0.0097	0.2903	0.0802	0.0103	0.2554	0.0715	0.0092	0.2254	0.0566	0.0062	0.1998	0.0541	0.0069	0.2519	0.1124	0.0387
3.03030303030303	0.2399	0.0714	0.0101	0.2847	0.0817	0.0093	0.251	0.0752	0.0096	0.2239	0.0558	0.0065	0.1921	0.0526	0.0078	0.252	0.1157	0.041
3.13131313131313	0.2408	0.0754	0.0129	0.2874	0.0812	0.0107	0.2562	0.0729	0.0104	0.2197	0.0553	0.0074	0.1977	0.0528	0.0081	0.2525	0.1176	0.0437
3.23232323232323	0.2535	0.0739	0.0097	0.2899	0.0812	0.0108	0.2541	0.0729	0.0098	0.2307	0.0547	0.006	0.2029	0.0525	0.0064	0.2514	0.1152	0.0441
3.33333333333333	0.2408	0.0719	0.0093	0.283	0.0782	0.0114	0.2428	0.0689	0.0113	0.2224	0.0552	0.0071	0.1935	0.0533	0.0073	0.2462	0.1137	0.0427
3.43434343434343	0.2377	0.0775	0.0118	0.2939	0.082	0.0117	0.2529	0.0721	0.0099	0.2219	0.0577	0.0075	0.1953	0.0538	0.0074	0.2518	0.1193	0.0422
3.53535353535354	0.2453	0.0714	0.0102	0.2903	0.0812	0.012	0.2536	0.0723	0.0107	0.226	0.0547	0.0065	0.2003	0.0545	0.0066	0.2528	0.1135	0.042
3.63636363636364	0.2401	0.0758	0.0103	0.2823	0.0839	0.0108	0.2497	0.0755	0.0092	0.2227	0.0556	0.007	0.1955	0.0538	0.0071	0.2511	0.1188	0.0464
3.73737373737374	0.2412	0.0809	0.0095	0.2922	0.0858	0.0101	0.2563	0.0776	0.0088	0.2227	0.0596	0.0066	0.1999	0.0596	0.0067	0.2591	0.1134	0.0404
3.83838383838384	0.243	0.0733	0.0093	0.2883	0.0768	0.0105	0.2526	0.0701	0.0096	0.2243	0.0512	0.0068	0.1965	0.0501	0.0073	0.2486	0.1083	0.0409
3.93939393939394	0.2399	0.0729	0.0114	0.2869	0.0771	0.0133	0.251	0.0692	0.0118	0.2208	0.057	0.0077	0.194	0.0533	0.0078	0.2539	0.1133	0.0459
4.04040404040404	0.2413	0.0784	0.0089	0.2896	0.081	0.0101	0.2518	0.0735	0.0091	0.2236	0.0556	0.0068	0.1975	0.0556	0.0079	0.2509	0.1172	0.0476
4.14141414141414	0.2462	0.0771	0.0087	0.2913	0.0808	0.0099	0.2519	0.0723	0.0093	0.2278	0.0559	0.0058	0.2013	0.0547	0.0068	0.2605	0.1164	0.0451
4.24242424242424	0.249	0.0761	0.0113	0.295	0.0835	0.0117	0.2531	0.0716	0.0098	0.2294	0.055	0.0078	0.1964	0.0495	0.0075	0.2548	0.118	0.0412
4.34343434343434	0.2397	0.0769	0.0097	0.2882	0.0812	0.0097	0.2547	0.0709	0.0092	0.2223	0.0577	0.006	0.1982	0.0556	0.0063	0.2523	0.1098	0.0408
4.44444444444444	0.2368	0.0761	0.0116	0.2883	0.0822	0.0091	0.2515	0.0733	0.0087	0.212	0.0553	0.0065	0.1897	0.0519	0.0078	0.2471	0.1166	0.0406
4.54545454545454	0.2384	0.0725	0.0104	0.284	0.0774	0.0115	0.253	0.0701	0.0106	0.2183	0.0535	0.0061	0.1945	0.0529	0.0068	0.2508	0.1123	0.0433
4.64646464646465	0.2408	0.0742	0.0108	0.2928	0.0803	0.0097	0.2543	0.0736	0.0094	0.2252	0.053	0.0075	0.1941	0.0528	0.0084	0.2534	0.1113	0.046
4.74747474747475	0.2405	0.0763	0.0088	0.2869	0.08	0.0089	0.2515	0.0738	0.0075	0.2226	0.0554	0.0058	0.1985	0.0553	0.0057	0.2522	0.1124	0.0416
4.84848484848485	0.237	0.0702	0.0109	0.2789	0.078	0.0099	0.2492	0.0674	0.0092	0.2166	0.0513	0.0062	0.1964	0.0495	0.0068	0.2473	0.1097	0.0442
4.94949494949495	0.244	0.0769	0.0105	0.2934	0.0809	0.0106	0.2578	0.0712	0.0094	0.2272	0.0565	0.0078	0.204	0.0532	0.0083	0.2586	0.1157	0.0439
5.05050505050505	0.2435	0.0739	0.0117	0.2898	0.0785	0.0108	0.251	0.0693	0.0104	0.2231	0.0546	0.0074	0.197	0.0516	0.0079	0.2544	0.112	0.0431
