tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.222868	0.081212	0.018945	0.218787	0.083768	0.020225	0.215664	0.084936	0.022094	0.214559	0.087734	0.020838	0.211193	0.088829	0.022748	0.207095	0.091422	0.023941
0.101010101010101	0.221856	0.089628	0.023675	0.215084	0.092274	0.025103	0.207594	0.09395	0.028277	0.207979	0.095196	0.025418	0.20031	0.097067	0.028812	0.195091	0.09872	0.0301
0.202020202020202	0.218701	0.098547	0.029258	0.209635	0.101494	0.030769	0.196929	0.104041	0.035871	0.200063	0.103145	0.030792	0.187443	0.106303	0.036416	0.182094	0.108185	0.037473
0.303030303030303	0.212266	0.105672	0.034857	0.200359	0.108754	0.036039	0.181553	0.112092	0.043477	0.189698	0.109272	0.036012	0.172152	0.113343	0.043923	0.167287	0.115369	0.044883
0.404040404040404	0.204533	0.112885	0.040403	0.190426	0.115507	0.041728	0.166796	0.120123	0.050841	0.179523	0.115426	0.041251	0.157588	0.121219	0.051455	0.154045	0.123094	0.052718
0.505050505050505	0.197395	0.117635	0.04452	0.180849	0.120249	0.045509	0.153545	0.125952	0.056792	0.169727	0.119411	0.045135	0.14546	0.126534	0.057523	0.142604	0.128426	0.058609
0.606060606060606	0.189543	0.120404	0.047479	0.17199	0.123129	0.048375	0.141657	0.129089	0.061304	0.1614	0.12237	0.04779	0.135113	0.130382	0.062099	0.133778	0.132344	0.063284
0.707070707070707	0.183306	0.123016	0.050738	0.164683	0.125816	0.051524	0.133011	0.13293	0.066021	0.154945	0.124363	0.050773	0.127103	0.133559	0.066809	0.126986	0.135793	0.067734
0.808080808080808	0.177884	0.123996	0.052433	0.158448	0.12644	0.053217	0.125468	0.133657	0.068527	0.150049	0.125745	0.052695	0.120659	0.134934	0.069287	0.121444	0.136715	0.070084
0.909090909090909	0.173394	0.125096	0.054104	0.153723	0.128638	0.055066	0.120426	0.136164	0.071079	0.146187	0.127147	0.054413	0.116832	0.13662	0.071793	0.117453	0.139263	0.072883
1.01010101010101	0.170037	0.12635	0.055223	0.149982	0.129607	0.056063	0.116548	0.137105	0.07282	0.143595	0.128438	0.055674	0.113939	0.138119	0.073673	0.115152	0.14047	0.074758
1.11111111111111	0.166504	0.12621	0.056498	0.146468	0.13003	0.057661	0.113178	0.137916	0.074875	0.141159	0.128776	0.056958	0.111414	0.138381	0.075208	0.112602	0.140901	0.076482
1.21212121212121	0.163351	0.126856	0.05667	0.143433	0.130998	0.057601	0.110922	0.139116	0.075359	0.138611	0.130179	0.057292	0.10948	0.139561	0.075874	0.110907	0.142217	0.076944
1.31313131313131	0.161207	0.1263	0.057096	0.141078	0.130259	0.058321	0.10951	0.139127	0.076185	0.137238	0.129437	0.058085	0.108087	0.13937	0.076562	0.109839	0.141395	0.077801
1.41414141414141	0.159085	0.126875	0.057385	0.139853	0.131179	0.058888	0.108363	0.139542	0.077131	0.136583	0.130904	0.058455	0.107917	0.140338	0.077241	0.109059	0.142265	0.078332
1.51515151515152	0.157103	0.127168	0.05731	0.138076	0.131477	0.059004	0.107204	0.140707	0.07721	0.135791	0.130951	0.058773	0.106503	0.141021	0.077497	0.107775	0.142783	0.078928
