tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.316422	0.133005	0.040109	0.316175	0.132847	0.040251	0.31604	0.13264	0.040331	0.258999	0.148519	0.063722	0.258767	0.147945	0.063855	0.250101	0.144886	0.067085
0.101010101010101	0.316293	0.132077	0.040265	0.321297	0.134227	0.040395	0.313869	0.131663	0.04016	0.260015	0.143465	0.061082	0.256628	0.144886	0.062672	0.253735	0.146415	0.069104
0.202020202020202	0.315982	0.132097	0.040399	0.327346	0.135764	0.041067	0.31326	0.131272	0.040148	0.261603	0.140018	0.058337	0.254261	0.143042	0.061246	0.257701	0.149824	0.070782
0.303030303030303	0.316542	0.13228	0.040406	0.332131	0.136989	0.041374	0.312389	0.13072	0.039763	0.262909	0.136578	0.055458	0.252926	0.139553	0.059055	0.261847	0.151716	0.072814
0.404040404040404	0.315659	0.131651	0.040312	0.338363	0.138182	0.041758	0.311232	0.130385	0.039852	0.264288	0.132398	0.052909	0.249886	0.1365	0.057785	0.266178	0.153904	0.074983
0.505050505050505	0.315994	0.131814	0.040228	0.343584	0.139362	0.041907	0.31211	0.130384	0.039811	0.265451	0.129381	0.050101	0.249062	0.13349	0.055566	0.271204	0.156959	0.07666
0.606060606060606	0.316528	0.132343	0.040251	0.348617	0.140505	0.042156	0.312579	0.129938	0.039627	0.267434	0.126366	0.047648	0.248065	0.129805	0.053088	0.275936	0.158906	0.078334
0.707070707070707	0.315531	0.131982	0.039783	0.352099	0.141565	0.042151	0.312353	0.129936	0.039142	0.268749	0.122902	0.045075	0.246327	0.126321	0.05056	0.28015	0.161254	0.079505
0.808080808080808	0.31553	0.132424	0.040388	0.357238	0.143113	0.042874	0.31406	0.129911	0.039867	0.27002	0.120355	0.043455	0.245042	0.122506	0.048573	0.286205	0.163332	0.08179
0.909090909090909	0.316402	0.132309	0.040331	0.363071	0.144393	0.042912	0.316411	0.129937	0.039125	0.272362	0.117312	0.041236	0.245622	0.119168	0.046037	0.292633	0.164814	0.082288
1.01010101010101	0.315966	0.132163	0.040218	0.364952	0.145114	0.043054	0.317118	0.129923	0.039096	0.272925	0.114781	0.039175	0.244508	0.11578	0.043109	0.296072	0.166434	0.083284
1.11111111111111	0.315312	0.132416	0.040102	0.368736	0.146005	0.043328	0.318454	0.12965	0.038994	0.273275	0.112571	0.03754	0.243571	0.112072	0.041041	0.300272	0.167156	0.08373
1.21212121212121	0.315196	0.132311	0.040232	0.370931	0.147129	0.043312	0.31965	0.129829	0.038961	0.273814	0.110951	0.036253	0.242857	0.109131	0.038872	0.30334	0.168297	0.084742
