tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.2426	0.0694	0.0107	0.2421	0.0717	0.0107	0.2477	0.0707	0.0103	0.2082	0.0901	0.0223	0.2084	0.092	0.0223	0.2031	0.0923	0.0302
0.101010101010101	0.2457	0.0756	0.0085	0.2447	0.0753	0.0089	0.245	0.0755	0.0086	0.2039	0.0969	0.022	0.2063	0.0956	0.023	0.2023	0.0989	0.0305
0.202020202020202	0.2449	0.0748	0.0095	0.2429	0.0734	0.0106	0.2429	0.0707	0.01	0.205	0.0928	0.0228	0.2067	0.0917	0.0228	0.2004	0.0951	0.0312
0.303030303030303	0.2342	0.0752	0.013	0.2414	0.0758	0.0118	0.2359	0.0763	0.0119	0.2046	0.0933	0.0217	0.1973	0.0932	0.0255	0.1976	0.1017	0.0331
0.404040404040404	0.2402	0.0748	0.0107	0.2502	0.0754	0.0119	0.2368	0.0733	0.0106	0.2019	0.0856	0.0205	0.2	0.0887	0.0212	0.1998	0.0992	0.0336
0.505050505050505	0.239	0.0739	0.0094	0.2513	0.0752	0.0099	0.2355	0.0718	0.0099	0.2076	0.0852	0.0179	0.1953	0.0898	0.0227	0.2021	0.1008	0.0331
0.606060606060606	0.2482	0.0777	0.0119	0.2589	0.0789	0.0105	0.2407	0.0751	0.0116	0.214	0.0835	0.0196	0.2031	0.0929	0.024	0.2077	0.1021	0.033
0.707070707070707	0.2376	0.0758	0.01	0.2545	0.0757	0.0097	0.2381	0.0735	0.0101	0.2064	0.0857	0.0191	0.1981	0.0909	0.0209	0.2049	0.1019	0.0328
0.808080808080808	0.2426	0.0732	0.009	0.2512	0.074	0.0081	0.2305	0.0691	0.0087	0.2124	0.0815	0.0178	0.1995	0.0843	0.0195	0.206	0.1036	0.0334
0.909090909090909	0.2472	0.0781	0.013	0.2664	0.0818	0.0114	0.2479	0.0776	0.0094	0.2185	0.0872	0.0198	0.2073	0.0915	0.0217	0.2199	0.1106	0.034
1.01010101010101	0.2391	0.0777	0.01	0.2618	0.0803	0.0112	0.2408	0.0792	0.0098	0.2084	0.0826	0.0162	0.199	0.0943	0.0178	0.2151	0.1091	0.0379
1.11111111111111	0.2367	0.0728	0.0099	0.2607	0.0797	0.0104	0.2387	0.0763	0.0105	0.2033	0.078	0.0158	0.1893	0.0847	0.0201	0.2178	0.1091	0.0362
1.21212121212121	0.2371	0.0753	0.0102	0.2642	0.0776	0.0087	0.2391	0.0737	0.0093	0.2146	0.0779	0.0144	0.1998	0.0845	0.0185	0.2214	0.1055	0.0361
