tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.316098	0.131756	0.040192	0.315712	0.131744	0.04016	0.315885	0.131946	0.040355	0.258395	0.14778	0.063902	0.25878	0.147769	0.063764	0.249771	0.144428	0.067286
0.0404040404040404	0.316007	0.131893	0.039726	0.320639	0.132973	0.040247	0.313362	0.130962	0.039738	0.259838	0.143688	0.060297	0.256287	0.145094	0.061907	0.253223	0.146373	0.068838
0.0808080808080808	0.315942	0.132754	0.040284	0.326642	0.135422	0.041065	0.312759	0.131455	0.040146	0.260897	0.139973	0.058421	0.253749	0.142601	0.061449	0.256663	0.149179	0.07148
0.121212121212121	0.315459	0.132596	0.040078	0.331405	0.136991	0.041192	0.311776	0.130926	0.040044	0.261643	0.136523	0.055193	0.25186	0.139695	0.059352	0.260915	0.151951	0.073244
0.161616161616162	0.316522	0.131663	0.040139	0.338891	0.137748	0.041477	0.311775	0.130172	0.039651	0.264371	0.132683	0.052528	0.251036	0.137013	0.05737	0.26646	0.154219	0.074724
0.202020202020202	0.316152	0.132388	0.040442	0.34369	0.139371	0.042108	0.311712	0.130008	0.039852	0.266156	0.129271	0.050196	0.248729	0.132939	0.05529	0.271019	0.156652	0.076832
0.242424242424242	0.315844	0.132153	0.040145	0.347671	0.141304	0.042186	0.31219	0.130284	0.039744	0.267069	0.12612	0.047679	0.247298	0.12988	0.053255	0.275949	0.158945	0.078312
0.282828282828283	0.315444	0.131791	0.039935	0.352489	0.14184	0.042174	0.312981	0.130062	0.039254	0.268318	0.122851	0.045007	0.246665	0.126213	0.050526	0.280606	0.161247	0.079755
0.323232323232323	0.316381	0.131932	0.040332	0.357646	0.143536	0.042585	0.314667	0.130367	0.039578	0.270065	0.120122	0.043049	0.245877	0.12313	0.048734	0.286417	0.163383	0.080964
0.363636363636364	0.316989	0.132509	0.040383	0.362606	0.144832	0.042791	0.317001	0.130501	0.039393	0.272696	0.117925	0.041367	0.246293	0.119434	0.046229	0.292013	0.165454	0.082092
0.404040404040404	0.315896	0.131898	0.04025	0.365617	0.145046	0.042984	0.316773	0.129579	0.039197	0.273177	0.11521	0.039277	0.244277	0.115612	0.043269	0.295889	0.166468	0.082862
0.444444444444444	0.316504	0.132554	0.040002	0.368404	0.145672	0.043031	0.319088	0.129507	0.038843	0.273622	0.113032	0.037719	0.244357	0.112486	0.041149	0.300255	0.167458	0.083905
0.484848484848485	0.316057	0.131793	0.040319	0.371029	0.146419	0.043341	0.319412	0.12913	0.038704	0.274197	0.110174	0.036081	0.243399	0.108311	0.039045	0.303481	0.168615	0.084567
