tau	"(1,2) 1"	"(1,2) 2"	"(1,2) 3"	"(1,3) 1"	"(1,3) 2"	"(1,3) 3"	"(1,4) 1"	"(1,4) 2"	"(1,4) 3"	"(2,3) 1"	"(2,3) 2"	"(2,3) 3"	"(2,4) 1"	"(2,4) 2"	"(2,4) 3"	"(3,4) 1"	"(3,4) 2"	"(3,4) 3"
0	0.315428	0.132278	0.040141	0.316281	0.132162	0.04022	0.315215	0.132346	0.040238	0.25829	0.147534	0.063623	0.258236	0.147891	0.063951	0.249888	0.143939	0.067224
0.101010101010101	0.315668	0.131795	0.040313	0.318527	0.132609	0.040341	0.319219	0.1331	0.04069	0.259196	0.145388	0.062085	0.259638	0.145719	0.062572	0.252258	0.141393	0.064726
0.202020202020202	0.315663	0.131957	0.040227	0.320511	0.133798	0.040428	0.323554	0.134576	0.040911	0.259264	0.144045	0.061161	0.260971	0.144544	0.061799	0.254122	0.139507	0.063132
0.303030303030303	0.315578	0.13232	0.040048	0.323519	0.134196	0.040548	0.327559	0.136074	0.041075	0.26037	0.141639	0.059522	0.26328	0.143342	0.060217	0.257448	0.137467	0.060711
0.404040404040404	0.315509	0.132462	0.040601	0.32692	0.135252	0.04101	0.332945	0.136925	0.041444	0.260665	0.140345	0.058624	0.264987	0.142229	0.05945	0.260292	0.135736	0.059024
0.505050505050505	0.316269	0.132218	0.040007	0.329502	0.135504	0.040707	0.336613	0.138036	0.041482	0.262021	0.138555	0.056519	0.266539	0.140664	0.057702	0.262873	0.13395	0.056505
0.606060606060606	0.315541	0.13168	0.040162	0.331388	0.136237	0.040933	0.341023	0.138901	0.041929	0.262152	0.136597	0.055704	0.267937	0.138976	0.05684	0.265797	0.131666	0.055262
0.707070707070707	0.315574	0.13261	0.040031	0.33448	0.137239	0.041357	0.346184	0.140725	0.041778	0.263507	0.135597	0.054225	0.270138	0.138155	0.055078	0.269501	0.130975	0.053098
0.808080808080808	0.315111	0.132274	0.039972	0.337089	0.137473	0.041324	0.349893	0.141446	0.041926	0.263455	0.133591	0.05305	0.271674	0.137189	0.053952	0.272223	0.128144	0.051491
0.909090909090909	0.316253	0.132024	0.040298	0.339738	0.13898	0.042141	0.354594	0.14281	0.042824	0.264248	0.131964	0.052024	0.27375	0.135391	0.053009	0.275181	0.127706	0.050333
1.01010101010101	0.315649	0.132536	0.040039	0.341534	0.139599	0.041531	0.357071	0.144222	0.042952	0.264719	0.129911	0.050666	0.274355	0.133983	0.052064	0.277896	0.125994	0.048096
1.11111111111111	0.315476	0.131491	0.039967	0.344448	0.139606	0.042011	0.361907	0.144211	0.043186	0.265962	0.128532	0.049091	0.276473	0.13182	0.050795	0.281863	0.124093	0.047074
